_id,id_old
1,72
2,71
3,70
4,91
5,138
6,87
7,136
8,155
9,134
10,146
11,135
12,137
13,171
14,142
15,133
16,164
17,145
18,168
19,165
20,143
21,169
22,144
23,175
24,149
25,174
26,166
27,170
28,167
29,173
30,185
31,191
32,190
33,186
34,14
35,11
36,13
37,12
38,18
39,38
40,15
41,16
42,39
43,35
44,6
45,33
46,47
47,17
48,36
49,43
50,19
51,44
52,34
53,55
54,40
55,37
56,45
57,118
58,4
59,75
60,41
61,76
62,97
63,96
64,74
65,73
66,117
67,95
68,113
69,98
70,2
71,1
72,3
73,20
74,10
75,7
76,8
77,9
78,80
79,50
80,81
81,29
82,82
83,84
84,24
85,83
86,127
87,114
88,51
89,52
90,68
91,25
92,26
93,27
94,28
95,105
96,30
97,53
98,107
99,102
100,85
101,106
102,103
103,104
104,115
105,116
106,54
107,131
108,132
109,57
110,59
111,31
112,120
113,61
114,92
115,112
116,122
117,64
118,56
119,157
120,176
121,147
122,125
123,158
124,148
125,187
126,183
127,177
128,99
129,77
130,42
131,111
132,49
133,179
134,139
135,124
136,86
137,60
138,32
139,108
140,88
141,58
142,109
143,110
144,46
145,62
146,93
147,89
148,65
149,90
150,94
151,121
152,21
153,22
154,48
155,67
156,63
157,66
158,5
159,101
160,69
161,79
162,100
163,140
164,23
165,126
166,159
167,78
168,128
169,123
170,130
171,119
172,156
173,129
174,151
175,150
176,141
177,160
178,152
179,154
180,161
181,162
182,163
183,180
184,153
185,172
186,178
187,184
188,182
189,181
190,188
191,189
192,192
193,195
194,193
195,194
196,1
197,2
198,3
199,4
200,5
201,6
202,7
203,8
204,9
205,10
206,11
207,12
208,13
209,14
210,15
211,16
212,17
213,18
214,19
215,20
216,21
217,22
218,23
219,24
220,25
221,26
222,27
223,28
224,29
225,30
226,31
227,32
228,33
229,34
230,35
231,36
232,37
233,38
234,39
235,40
236,41
237,42
238,43
239,44
240,45
241,46
242,47
243,48
244,50
245,51
246,52
247,53
248,54
249,55
250,56
251,57
252,58
